dataset,model,condition,n,retrieval,task,task_metric
SciFact,Gemma,DIRECT,88,0.2528,0.8523,accuracy
SciFact,Gemma,NEUTRAL,88,0.2159,0.9091,accuracy
SciFact,Gemma,GENERIC_EXPANSION,88,0.4631,0.7045,accuracy
SciFact,Gemma,REAL,88,0.2812,0.7727,accuracy
SciFact,Gemma,SHUFFLED,88,0.0,1,accuracy
SciFact,Llama,DIRECT,100,0.72,0.42,accuracy
SciFact,Llama,NEUTRAL,100,0.5583,0.59,accuracy
SciFact,Llama,GENERIC_EXPANSION,100,0.5783,0.46,accuracy
SciFact,Llama,REAL,100,0.5108,0.57,accuracy
SciFact,Llama,SHUFFLED,100,0.0,0.96,accuracy
HotpotQA,Gemma,DIRECT,300,0.4367,0.3364,f1
HotpotQA,Gemma,NEUTRAL,300,0.4133,0.3566,f1
HotpotQA,Gemma,GENERIC_EXPANSION,300,0.525,0.3716,f1
HotpotQA,Gemma,REAL,300,0.46,0.3929,f1
HotpotQA,Gemma,SHUFFLED,300,0.2783,0.2686,f1
HotpotQA,Llama,DIRECT,100,0.485,0.4253,f1
HotpotQA,Llama,NEUTRAL,100,0.525,0.4604,f1
HotpotQA,Llama,GENERIC_EXPANSION,100,0.535,0.4376,f1
HotpotQA,Llama,REAL,100,0.585,0.4675,f1
HotpotQA,Llama,SHUFFLED,100,0.27,0.3812,f1
