id,hypothesis,dataset,model,metric,contrast,n,estimate,ci_lo,ci_hi,p_raw,p_holm,reject,classification
SF-G-H1-recall,PV-H1,SciFact,Gemma,recall,REAL vs SHUFFLED,88,0.2812,0.1932,0.3722,0.0001,0.0014,True,SIGNIFICANT_POSITIVE
SF-G-H3-acc,PV-H3,SciFact,Gemma,accuracy,REAL vs SHUFFLED,88,-0.2273,-0.3182,-0.1477,0.0001,0.0014,True,SIGNIFICANT_NEGATIVE
SF-G-H2-recall,PV-H2,SciFact,Gemma,recall,REAL vs GENERIC,88,-0.1818,-0.2955,-0.0682,0.001,0.007,True,SIGNIFICANT_NEGATIVE
SF-G-exposure,PV-H5,SciFact,Gemma,visibility,visible vs hidden,88,-0.0455,-0.1023,0,0.1332,0.3996,False,NOT_SIGNIFICANT
SF-L-H1-recall,PV-H1,SciFact,Llama,recall,REAL vs SHUFFLED,100,0.5108,0.4133,0.6083,0.0001,0.0014,True,SIGNIFICANT_POSITIVE
SF-L-H3-acc,PV-H3,SciFact,Llama,accuracy,REAL vs SHUFFLED,100,-0.39,-0.49,-0.3,0.0001,0.0014,True,SIGNIFICANT_NEGATIVE
SF-L-H2-recall,PV-H2,SciFact,Llama,recall,REAL vs GENERIC,100,-0.0675,-0.19,0.0525,0.292,0.4892,False,NOT_SIGNIFICANT
SF-L-exposure,PV-H5,SciFact,Llama,visibility,visible vs hidden,100,-0.06,-0.12,0,0.066,0.33,False,NOT_SIGNIFICANT
HP-G-H1-recall,PV-H1,HotpotQA,Gemma,recall,REAL vs SHUFFLED,300,0.1817,0.1383,0.225,0.0001,0.0014,True,SIGNIFICANT_POSITIVE
HP-G-H3-f1,PV-H3,HotpotQA,Gemma,f1,REAL vs SHUFFLED,300,0.1243,0.0736,0.1747,0.0001,0.0014,True,SIGNIFICANT_POSITIVE
HP-G-H2-recall,PV-H2,HotpotQA,Gemma,recall,REAL vs GENERIC,300,-0.065,-0.1083,-0.0233,0.004,0.024,True,SIGNIFICANT_NEGATIVE
HP-L-H1-recall,PV-H1,HotpotQA,Llama,recall,REAL vs SHUFFLED,100,0.315,0.24,0.39,0.0001,0.0014,True,SIGNIFICANT_POSITIVE
HP-L-H3-f1,PV-H3,HotpotQA,Llama,f1,REAL vs SHUFFLED,100,0.0863,-0.0151,0.1882,0.096,0.384,False,NOT_SIGNIFICANT
HP-L-H2-recall,PV-H2,HotpotQA,Llama,recall,REAL vs GENERIC,100,0.05,-0.03,0.125,0.2446,0.4892,False,NOT_SIGNIFICANT
