model,condition,n,accuracy,recall,CC,CW,WC,WW
Gemma,REAL,88,0.7727,0.2812,9,2,59,18
Gemma,SHUFFLED,88,1,0.0,11,0,77,0
Gemma,NEUTRAL,88,0.9091,0.2159,11,0,69,8
Gemma,DIRECT,88,0.8523,0.2528,9,2,66,11
Gemma,GENERIC_EXPANSION,88,0.7045,0.4631,9,2,53,24
Gemma,REAL_ARTIFACT_HIDDEN,88,0.8182,0.2812,10,1,62,15
Llama,REAL,100,0.57,0.5108,24,8,33,35
Llama,SHUFFLED,100,0.96,0.0,32,0,64,4
Llama,NEUTRAL,100,0.59,0.5583,19,13,40,28
Llama,DIRECT,100,0.42,0.72,14,18,28,40
Llama,GENERIC_EXPANSION,100,0.46,0.5783,18,14,28,40
Llama,REAL_ARTIFACT_HIDDEN,100,0.63,0.5108,25,7,38,30
